element_id;object_name;type;type_name;attribute_type;modifiers;number_of_statements;creator;created;changed_by;changed;local_class;container_id;iteration;amount_of_results;amount_of_namspa;amount_of_chnhis;amount_of_codlen;amount_of_commam;amount_of_dynsta;amount_of_enhmod;amount_of_formty;amount_of_nomac;amount_of_objnam;amount_of_praefi;amount_of_slin;amount_of_sql;amount_of_todo
25;TEST_METHOD08;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;TEST_METHOD09;METH;Method;;PUBLIC;1;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;TEST_METHOD_WITH_PARAMETERS;METH;Method;;PUBLIC;2;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;TEST_METHOD_WITH_PARAMETERS2;METH;Method;;PUBLIC;3;GPRA437;20200915;GPRA587;20220110;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;/GISA/CL_CCLMT_CR_TEST_CLASS02;CLAS;Class;;;;GPRA437;20200916;GPRA437;20200916;false;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;LO_TESTCLASS01;ATTR;Attribute;VARIABLE;PUBLIC;;GPRA437;20200916;GPRA437;20200916;;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;Class;;;;GPRA437;20201117;GPRA437;20201202;false;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0
36;/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD;METH;Method;;;3;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
37;DYNAMIC_TEST_METHOD01;METH;Method;;PUBLIC;1;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
38;DYNAMIC_TEST_METHOD02;METH;Method;;PUBLIC;3;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
39;DYNAMIC_TEST_METHOD03;METH;Method;;PUBLIC;4;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
40;DYNAMIC_TEST_METHOD04;METH;Method;;PUBLIC;4;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
41;DYNAMIC_TEST_METHOD05;METH;Method;;PUBLIC;6;GPRA437;20201117;GPRA437;20201202;;35;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0
42;DYNAMIC_TEST_METHOD06;METH;Method;;PUBLIC;5;GPRA437;20201117;GPRA437;20201202;;35;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0
43;DYNAMIC_TEST_METHOD07;METH;Method;;PUBLIC;4;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
44;DYNAMIC_TEST_METHOD08;METH;Method;;PUBLIC;2;GPRA437;20201117;GPRA437;20201202;;35;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
32;/GISA/IF_CCLMT_CR_TEST_IF01;INTF;Interface;;;;GPRA437;20201126;GPRA437;20201126;false;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;TEST_INTERFACE_METHOD;METH;Method;;PUBLIC;0;GPRA437;20201126;GPRA437;20201126;;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;STMO;FUGR;FunctionGroup;;;;SAP;19950405;;;;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;POPUP_TO_INFORM;FUNC;FunctionModule;;;0;SAP;19950405;G530358;20221209;;81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;STUN;DEVC;Namespace;;;;SAP;20120522;SAP;20120522;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
