MAIN_OBJ_NAME_SRC;MAIN_OBJ_TYPE_SRC;SUB_OBJ_NAME_SRC;SUB_OBJ_TYPE_SRC;SUB_SUB_OBJ_NAME_SRC;SUB_SUB_OBJ_TYPE_SRC;MAIN_OBJ_NAME_DST;MAIN_OBJ_TYPE_DST;SUB_OBJ_NAME_DST;SUB_OBJ_TYPE_DST;SUB_SUB_OBJ_NAME_DST;SUB_SUB_OBJ_TYPE_DST
/GISA/CL_CCLMS_SS_RESULTS_MGMT;CLAS;CHECK_EXISTING_IDENTIFIER;METH;;;/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;IS_SCAN_LIST_EMPTY;METH;;;
/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;COLLECT_OBJECTS_FROM_REQUEST;METH;;;/GISA/CL_CCLMS_SS_RESULTS_MGMT;CLAS;CHECK_EXISTING_IDENTIFIER;METH;;;
/GISA/CL_CCLMS_RELEASE_MGMT;CLAS;IS_SCAN_LIST_EMPTY;METH;;;/GISA/CCLMS_RELEASE_POPUP;FUGR;LCL_RELEASE_POPUP;CLAS;ON_DOUBLE_CLICK;METH
/GISA/CCLMS_RELEASE_POPUP;FUGR;/GISA/CCLMS_SHOW_RELEASE_POPUP;FUNC;;;/GISA/CL_CCLMS_SS_RESULTS_MGMT;CLAS;CHECK_EXISTING_IDENTIFIER;METH;;;
