MAIN_OBJ_NAME;MAIN_OBJ_TYPE;SUB_OBJ_NAME;SUB_OBJ_TYPE;SUB_SUB_OBJ_NAME;SUB_SUB_OBJ_TYPE;PACKAGE;number_of_statements;number_of_object_references;number_of_exec_statements;maximum_nesting_depth;cyclomatic_complexity;keyword_named_variables;number_of_comments;halstead_difficulty;halstead_volume;halstead_effort;number_of_methods;number_of_interfaces;number_of_attributes;number_of_events;number_of_redefined_methods;number_of_protected_methods;number_of_public_methods;number_of_private_attributes;number_of_protected_attributes;number_of_public_attributes;amount_of_slin_findings
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD02;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;1;2;1;;;;2;20;39;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS01;CLAS;TEST_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;1;;;;2;12;17;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS02;CLAS;;;;;/GISA/CCLMT_CROSSREF_TEST;;;;;;;;;;;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD01;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;;;;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD02;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;5;52;249;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD03;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;5;82;414;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD04;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;8;153;1268;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD05;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;;;;;10;221;2271;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD06;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;9;186;1610;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;/GISA/IF_CCLMT_CR_TEST_IF01~TEST_INTERFACE_METHOD;METH;;;/GISA/CCLMT_CROSSREF_TEST;3;;2;1;;;;4;56;222;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD07;METH;;;/GISA/CCLMT_CROSSREF_TEST;4;1;3;;;;;5;61;284;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;DYNAMIC_TEST_METHOD08;METH;;;/GISA/CCLMT_CROSSREF_TEST;2;;1;;;;;5;61;329;;;;;;;;;;;
/GISA/CL_CCLMT_CR_TEST_CLASS03;CLAS;;;;;/GISA/CCLMT_CROSSREF_TEST;;2;;;;;;;;;;;;;;;;;;;
/GISA/IF_CCLMT_CR_TEST_IF01;INTF;;;;;/GISA/CCLMT_CROSSREF_TEST;;;;;;;;;;;;;;;;;;;;;
