element_id,object_name,type,type_name,attribute_type,modifiers,number_of_statements,creator,created,changed_by,changed,local_class,container_id,iteration
145,/GISA/CCLMT_FUGR_DEBUGGER,FUGR,FunctionGroup,,,,GPRA629,20220727,,,,76,0
81,/GISA/CCLMT_FUBA_01,FUNC,FunctionModule,,,3,GPRA629,20220727,GPRA629,20220905,,145,0
147,/GISA/CCLMT_FUBA_02,FUNC,FunctionModule,,,4,GPRA629,20220905,GPRA629,20220905,,145,0
149,/GISA/CCLMT_FUGR_01,FUGR,FunctionGroup,,,,G530358,20190820,,,,102,0
150,/GISA/CCLMT_FUNC_01,FUNC,FunctionModule,,,0,G954492,20191120,G954492,20191120,,149,0
151,/GISA/CCLMT_FUNC_02,FUNC,FunctionModule,,,0,G954492,20191120,G954492,20191120,,149,0
152,/GISA/CCLMT_CR_TEST_REPORT_01,REPS,Report,,,8,GPRA437,20200915,GPRA437,20210407,,2,0
153,LO_TEST,ATTR,Attribute,VARIABLE,,,GPRA437,20200915,GPRA437,20210407,,152,0
154,LV_FUBA_NAME,ATTR,Attribute,VARIABLE,,,GPRA437,20200915,GPRA437,20210407,,152,0
157,/GISA/CCLMT_CR_TEST_REPORT_02,REPS,Report,,,3,GPRA437,20200915,GPRA437,20200915,,2,0
158,LO_TEST,ATTR,Attribute,VARIABLE,,,GPRA437,20200915,GPRA437,20200915,,157,0
160,/GISA/CCLMT_CR_TEST_REPORT_03,REPS,Report,,,2,GPRA437,20200916,GPRA437,20200916,,2,0
161,LO_TEST,ATTR,Attribute,VARIABLE,,,GPRA437,20200916,GPRA437,20200916,,160,0
162,/GISA/CCLMT_CR_TEST_REPORT_04,REPS,Report,,,3,GPRA437,20201009,GPRA437,20201009,,2,0
163,LO_TEST,ATTR,Attribute,VARIABLE,,,GPRA437,20201009,GPRA437,20201009,,162,0
165,/GISA/CCLMT_CR_TEST_REPORT_05,REPS,Report,,,3,GPRA437,20201009,GPRA437,20201009,,2,0
166,LO_TEST,ATTR,Attribute,VARIABLE,,,GPRA437,20201009,GPRA437,20201009,,165,0
168,/GISA/CCLMT_INCLUDE_TEST,REPS,Report,,,5,GPRA587,20220303,GPRA587,20220303,,2,0
169,LCL_WIND,CLAS,Class,,,,GPRA587,20220303,GPRA587,20220303,true,168,0
170,RECITE,METH,Method,,PUBLIC,3,GPRA587,20220303,GPRA587,20220303,,169,0
172,HELLO_WORLD,FORM,FormRoutine,,,1,GPRA587,20220303,GPRA587,20220303,,168,0
176,/GISA/CCLMT_VISAP_TEST_REPORT,REPS,Report,,,18,GPRA440,20200316,G435367,20230816,,47,0
177,LI_TEST_INTERFACE1,INTF,Interface,,,,GPRA440,20200316,G435367,20230816,true,176,0
178,MV_TEST1,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20200316,G435367,20230816,,177,0
179,C_TEST1,ATTR,Attribute,CONSTANT,PUBLIC,,GPRA440,20200316,G435367,20230816,,177,0
180,LI_TEST_INTERFACE2,INTF,Interface,,,,GPRA440,20200316,G435367,20230816,true,176,0
181,MV_TEST2,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20200316,G435367,20230816,,180,0
182,C_TEST2,ATTR,Attribute,CONSTANT,PUBLIC,,GPRA440,20200316,G435367,20230816,,180,0
184,LCL_TEST_CLASS,CLAS,Class,,,,GPRA440,20200316,G435367,20230816,true,176,0
185,LI_TEST_INTERFACE1~TEST_INTF1,METH,Method,,,0,,,,,,184,0
186,TEST_CLAS,METH,Method,,PUBLIC,1,GPRA440,20200316,G435367,20230816,,184,0
187,MV_TEST,ATTR,Attribute,VARIABLE,PUBLIC,,GPRA440,20200316,G435367,20230816,,184,0
189,FORM,FORM,FormRoutine,,,1,GPRA440,20200316,G435367,20230816,,176,0
190,FORM2,FORM,FormRoutine,,,3,GPRA440,20200316,G435367,20230816,,176,0
